upload_date,video_name,likes,channel_name
2024-07-17T08:27:14Z,VADA PAV AUR CHAI 😍 | CARRYMINATI,4460137,Carryminati
2024-07-16T09:32:35Z,New roast video coming out soon!                  #carryminati #roast #comedy,1059287,Carryminati
2024-05-16T08:24:52Z,CARRYMINATI VS SIGMA MALE,3127664,Carryminati
2024-05-14T08:47:13Z,New Roast Video Coming Out Soon!                 #carryminati #shorts #sigmamale,376438,Carryminati
2024-03-16T06:34:03Z,DADDY DAUGHTER LOVE STORY  | CARRYMINATI,2726926,Carryminati
2024-03-14T08:26:01Z,New Roast Video releasing on 16th March at 12:30 pm.          #carryminati #carryminatiroast,615116,Carryminati
2023-12-24T07:00:01Z,RARE INDIAN STREET FOOD....YUMMYY🤤| CARRYMINATI,4146327,Carryminati
2023-12-22T08:57:55Z,Saal ki akhri video street food ke naam🤤 #carryminati #shorts #streetfood #comedy,334122,Carryminati
2023-11-23T07:00:32Z,MOTIVATIONAL SPEAKER PARODY | CARRYMINATI,3501612,Carryminati
2023-11-21T13:16:54Z,kya aap nyi parody ke liye taiyaar hai?💀 #lifechangingparody,987092,Carryminati
2023-09-16T06:59:54Z,BIGG BOSS OR YOUTUBE? The Final Verdict | CARRYMINATI Q&amp;A 2023,3099950,Carryminati
2023-08-11T07:06:01Z,JALWA - CARRYMINATI X WILY FRENZY,1895359,Carryminati
2023-08-09T09:46:20Z,"JALWA releasing on Friday, 11th August 2023. #carryminati",409501,Carryminati
2023-07-15T06:58:55Z,DAILY VLOGGERS PARODY 😘 | CARRYMINATI,5308701,Carryminati
2023-07-13T10:09:52Z,"Toh guys, naya vlog aane vaala hai taiyaar rehna 💀 #vlogparody #carryminati",2230460,Carryminati
2023-05-30T06:32:26Z,MC SALMAN FT BIGG BOSS - CARRYMINATI,4564457,Carryminati
2023-05-27T09:27:24Z,CARRYMINATI ROAST BIGG BOSS #shorts #carryminati #biggboss,918111,Carryminati
2023-02-04T06:39:37Z,MAGGIE KHAO BODY BANAO | CARRYMINATI,4174223,Carryminati
2023-02-02T14:41:32Z,CARRYMINATI ROAST TARUN GILL - VIDEO COMING SOON.            #shorts #carryminati,662888,Carryminati
2022-10-19T06:54:50Z,PAKISTANI GHOST HUNTERS,3854442,Carryminati
2022-08-11T12:05:31Z,LADKIYON KA BEST FRIEND,5447266,Carryminati
2022-04-21T11:26:30Z,INDIAN FOOD MAGIC | CARRYMINATI,5891798,Carryminati
2022-02-16T08:52:06Z,GETTING MARRIED? QNA 2022 | CARRYMINATI,2814023,Carryminati
2022-01-19T11:34:42Z,THARA BHAiiiii | CARRYMINATI,7121608,Carryminati
2021-12-03T14:16:02Z,METUBE SPACE | CARRYMINATI,2531984,Carryminati
2021-09-05T14:20:46Z,CANCEL CULTURE ORGANIZATION | CARRYMINATI,2180931,Carryminati
2021-09-05T07:41:43Z,SOCIAL MEDIA CULTURE | CARRYMINATI,2850509,Carryminati
2021-05-23T15:50:44Z,THE LAND OF BIGG BOSS | CARRYMINATI,4750644,Carryminati
2021-01-17T15:17:28Z,VARDAAN - CARRYMINATI X Wily Frenzy,6941518,Carryminati
2020-11-20T11:42:43Z,MASSAGE PARADISE,5209711,Carryminati
2020-09-04T10:23:39Z,IDLES OF INDIA: GONE RIGHT,5695972,Carryminati
2020-07-10T15:44:02Z,THE ART OF BAD WORDS,6289314,Carryminati
2020-06-05T17:02:14Z,YALGAAR - CARRYMINATI X Wily Frenzy,18764394,Carryminati
2020-05-24T14:30:35Z,YALGAAR....COMING SOON,4924914,Carryminati
2020-05-17T10:47:35Z,STOP MAKING ASSUMPTIONS | YOUTUBE VS TIK TOK: THE END,9173696,Carryminati
2020-04-24T16:12:00Z,WARRIOR - CARRYMINATI X Wily Frenzy,1390561,Carryminati
2020-04-10T10:30:15Z,FILM THE FLARE,4050246,Carryminati
2020-03-07T15:38:25Z,ARE YOU A VIRGIN? QNA 2020 | CARRYMINATI,2697426,Carryminati
2020-02-12T17:28:36Z,BIG BOSS BIG BOSS BIG BOSS PART 2 | CARRYMINATI,5647915,Carryminati
2020-01-17T14:00:13Z,Zindagi - CARRYMINATI X Wily Frenzy,2688687,Carryminati
2019-12-28T14:22:50Z,LADKA LADKI AUR WOH | CARRYMINATI,3287041,Carryminati
2019-11-24T12:54:57Z,NOT A DARING SHOW FT. WAKAR ZAQA  | CARRYMINATI,4297365,Carryminati
2019-10-14T13:02:41Z,TALENTED PEOPLE OF VIGO | CARRYMINATI,3423995,Carryminati
2019-09-12T10:53:55Z,CUTE GIRLS PRANK | CARRYMINATI,3972745,Carryminati
2019-08-13T10:29:45Z,WILDEST PARTIES OF INDIA | CARRYMINATI,2863799,Carryminati
